"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1988-01","Canada","2016A000011124","Miscellaneous manufacturing [339]","Percent","239","units","0","v4331114","1.34","86.9","","","","1"
"1988-04","Canada","2016A000011124","Total industrial","Percent","239","units","0","v4331081","1.1","86.4","","","","1"
"1988-04","Canada","2016A000011124","Forestry and logging [113]","Percent","239","units","0","v4331082","1.2","85.8","","","","1"
"1988-04","Canada","2016A000011124","Mining and oil and gas extraction [21]","Percent","239","units","0","v4331083","1.3","86.2","","","","1"
"1988-04","Canada","2016A000011124","Oil and gas extraction [211]","Percent","239","units","0","v4331084","1.4","88.6","","","","1"
"1988-04","Canada","2016A000011124","Mining","Percent","239","units","0","v4331085","1.5","82.8","","","","1"
"1988-04","Canada","2016A000011124","Electric power generation, transmission and distribution [2211]","Percent","239","units","0","v4331086","1.6","89.1","","","","1"
"1988-04","Canada","2016A000011124","Construction [23]","Percent","239","units","0","v4331087","1.7","91.6","","","","1"
"1988-04","Canada","2016A000011124","Manufacturing [31-33]","Percent","239","units","0","v4331088","1.8","83.5","","","","1"
"1988-04","Canada","2016A000011124","Food manufacturing [311]","Percent","239","units","0","v4331089","1.9","80.7","","","","1"
"1988-04","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Percent","239","units","0","v4331090","1.10","75.8","","","","1"
"1988-04","Canada","2016A000011124","Beverage manufacturing [3121]","Percent","239","units","0","v4331091","1.11","72.9","","","","1"
"1988-04","Canada","2016A000011124","Tobacco manufacturing [3122]","Percent","239","units","0","v4331092","1.12","77.7","","","","1"
"1988-04","Canada","2016A000011124","Textiles","Percent","239","units","0","v4331093","1.13","83.7","","","","1"
"1988-04","Canada","2016A000011124","Textile mills [313]","Percent","239","units","0","v4331094","1.14","","..","","","1"
"1988-04","Canada","2016A000011124","Textile product mills [314]","Percent","239","units","0","v4331095","1.15","","..","","","1"
"1988-04","Canada","2016A000011124","Clothing manufacturing [315]","Percent","239","units","0","v4331096","1.16","84.2","","","","1"
"1988-04","Canada","2016A000011124","Leather and allied product manufacturing [316]","Percent","239","units","0","v4331097","1.17","81.6","","","","1"
"1988-04","Canada","2016A000011124","Wood product manufacturing [321]","Percent","239","units","0","v4331098","1.18","83.7","","","","1"
"1988-04","Canada","2016A000011124","Paper manufacturing [322]","Percent","239","units","0","v4331099","1.19","94.5","","","","1"
